Words,Count
dil,40326
o,26755
kabhī,12354
apne,11475
ga.e,11147
ġham,11132
nazar,9908
magar,9656
apnī,9517
sar,9512
ga.ī,9470
rahe,9261
ishq,8991
ḳhud,8794
ghar,8612
bahut,8514
baat,8416
sab,8354
tarah,8263
zindagī,7787
jaa.e,7623
kahīñ,7545
aaj,7404
dekh,7154
raat,7126
diyā,7124
duniyā,6950
yaad,6919
saath,6831
din,6759
ḳhvāb,6665
mohabbat,6587
shab,6582
rahī,6259
āñkhoñ,6228
shahr,6079
jaane,6052
rañg,6045
ḳhudā,5961
abhī,5952
gul,5940
jahāñ,5912
dard,5786
rah,5639
dar,5547
dekhā,5425
karte,5419
sā,5319
vaqt,5272
havā,5127
kab,5087
log,5059
bas,4973
husn,4973
sī,4781
bhar,4775
lekin,4771
safar,4765
use,4671
haath,4624
jaatā,4374
hogā,4356
yahāñ,4307
aa.ī,4262
naam,4190
ban,4151
umr,4150
jaate,4117
vafā,4098
aañkh,4094
pahle,4020
kam,3883
jaise,3875
dam,3843
hotī,3774
mai,3761
lagā,3690
kaise,3682
taraf,3633
ḳhabar,3610
roz,3575
aatā,3572
duur,3551
phuul,3521
ḳhayāl,3512
dariyā,3475
kaam,3420
zarā,3419
milā,3365
kartā,3335
aisā,3288
hamāre,3261
jaatī,3244
shauq,3235
lab,3214
sūrat,3172
manzil,3172
jaan,3168
liyā,3157
chashm,3150
jāñ,3117
dīvār,3113
ḳhaak,3112
vaale,3078
bahār,3011
zamīñ,3005
chaman,2984
zaḳhm,2974
baar,2973
sadā,2966
ḳhush,2901
qadam,2901
sub.h,2887
jī,2875
kah,2832
banā,2828
sahrā,2824
nigāh,2805
shaam,2792
hone,2777
chhoḌ,2770
āñkheñ,2770
uThā,2718
kal,2704
mil,2702
charāġh,2700
dasht,2691
dī,2684
tamām,2684
nikal,2673
ba.ad,2648
raah,2643
rahtā,2630
chāñd,2626
aise,2618
hijr,2601
aag,2596
junūñ,2584
chale,2582
kareñ,2581
lage,2575
usī,2569
badan,2555
paanī,2549
rakh,2526
guzar,2504
aate,2487
dāman,2478
zamāne,2475
kahā,2473
in,2472
rū,2451
āḳhir,2440
patthar,2417
jā.egā,2408
ahl,2404
jism,2393
sahī,2388
karo,2387
raushnī,2384
shāyad,2365
karnā,2355
mile,2342
aage,2336
jin,2331
sahar,2324
detā,2324
dhuup,2320
mausam,2300
manzar,2292
yaar,2286
ajab,2278
hamārī,2273
bazm,2264
haal,2262
lahū,2253
hamārā,2251
zabāñ,2233
lagtā,2206
āsmāñ,2206
ġhazal,2191
dekho,2185
paas,2182
tamannā,2154
itnā,2152
baiThe,2144
duā,2138
aisī,2138
naqsh,2132
yār,2129
rakkhā,2114
chāhiye,2101
sūraj,2098
achchhā,2093
saktā,2091
mar,2091
mahfil,2089
dost,2088
aane,2062
jaa.eñ,2054
varna,2048
lagī,2046
sitam,2044
shaḳhs,2044
zulf,2031
ashk,2028
muñh,2020
saare,2020
sāmne,1993
samundar,1989
dekhte,1983
tumheñ,1973
samajh,1970
paañv,1961
sivā,1946
vaalā,1945
zamāna,1933
aalam,1920
āvāz,1915
ḳhāna,1909
rāh,1903
baaqī,1903
ā.īna,1902
honā,1894
tumhāre,1893
suḳhan,1885
tanhā,1884
tar,1877
niklā,1874
bhuul,1871
hayāt,1859
mat,1854
kitne,1847
karūñ,1845
chal,1837
aañsū,1813
pyaar,1812
hoñ,1806
badal,1806
ḳhushbū,1802
jigar,1793
paḌā,1786
maut,1767
mauj,1760
tasvīr,1752
hogī,1748
isī,1744
chehre,1742
adā,1739
karne,1728
diye,1723
ruḳh,1707
qadar,1706
raushan,1705
chalā,1700
kaisā,1693
asar,1682
ḳhushī,1682
mushkil,1679
vasl,1677
ka.ī,1676
andar,1670
fikr,1670
kahtā,1665
shām,1655
der,1649
sañg,1638
harf,1637
lo,1627
tumhārī,1621
jā.ūñ,1618
chup,1617
vahāñ,1615
Dar,1612
āb,1611
bāteñ,1610
nikle,1606
unheñ,1605
chehra,1601
dete,1591
dast,1584
tanhā.ī,1584
jal,1576
miltā,1573
dushman,1566
chāhtā,1566
sun,1564
ġhair,1563
ma.alūm,1563
sunā,1561
dār,1555
hastī,1551
talab,1547
vahshat,1541
but,1541
bad,1540
sher,1534
daur,1516
shor,1515
niiñd,1512
kaisī,1503
siine,1500
sake,1492
bhalā,1490
saaqī,1486
judā,1484
dekhnā,1482
ehsās,1465
kār,1460
dekhe,1458
sach,1454
sharāb,1451
rahte,1447
TuuT,1446
ḳhizāñ,1446
sakā,1434
soch,1432
aadmī,1425
aah,1422
idhar,1416
ḳhauf,1415
hāthoñ,1414
itnī,1412
band,1412
jalva,1410
sham.a,1408
bāhar,1401
jā.eñge,1400
aks,1399
haq,1393
hasrat,1393
miTTī,1393
ga.iiñ,1391
zikr,1388
talāsh,1388
na.e,1387
lutf,1383
āshnā,1382
lamha,1380
paḌe,1380
aarzū,1378
sabhī,1377
falak,1372
shāḳh,1370
karam,1368
rahne,1367
haqīqat,1367
saarī,1364
hunar,1362
ulfat,1359
sāhil,1356
jā.egī,1351
gum,1341
ruuh,1337
parda,1334
udhar,1333
gumāñ,1329
lā,1329
balā,1328
thiiñ,1325
qayāmat,1325
hosh,1318
andāz,1315
qātil,1315
donoñ,1312
dīda,1311
milī,1306
faqat,1304
zinda,1304
sabā,1302
jaao,1298
yaañ,1295
dekhtā,1294
galī,1293
shajar,1289
saa.e,1289
intizār,1282
jagah,1281
na.ī,1275
ḳhuub,1272
kahānī,1269
gulshan,1269
utar,1267
pur,1267
lī,1267
ḳhāk,1263
nāz,1262
kitnī,1258
pal,1258
javāb,1253
ḳhair,1251
hāsil,1250
hazār,1249
baiThā,1241
talak,1240
ajiib,1233
bār,1229
dukh,1226
allāh,1224
ḳhuun,1223
ḳhālī,1222
savāl,1217
makāñ,1217
chukā,1213
hāl,1207
dekhiye,1204
jalā,1204
rakhnā,1203
aa.egā,1201
tamāshā,1199
ravāñ,1198
haa.e,1194
fazā,1193
kho,1191
samjhā,1190
rakhte,1185
phūloñ,1183
ummīd,1181
ālam,1180
ahd,1177
kahūñ,1176
gardish,1172
kitnā,1171
nayā,1167
āshiq,1164
tā,1155
baḌh,1152
bū,1151
saaya,1148
kartī,1139
gard,1138
ḳhātir,1137
samt,1128
nasīb,1127
qaid,1124
jān,1123
vajūd,1123
dekhne,1122
vāste,1114
lafz,1113
jaañ,1111
bastī,1110
qismat,1108
kise,1102
sabab,1101
paayā,1101
ro,1100
qafas,1099
uTh,1098
ḳhat,1098
ḳhvāhish,1096
lete,1096
abr,1089
dhuāñ,1087
bāzār,1087
fareb,1086
chalo,1080
rahnā,1075
baḌī,1075
pūchh,1072
tumhārā,1072
pahlū,1065
lauT,1062
sirf,1061
ḳhvāboñ,1055
zaat,1054
dikhā.ī,1049
ġhubār,1049
denā,1039
chand,1039
sazā,1037
kahiye,1034
zanjīr,1032
aa.ina,1032
jānāñ,1028
kaho,1028
tez,1028
jaam,1027
dīvāna,1026
hoñge,1026
havas,1025
tasavvur,1023
mumkin,1022
guzrī,1021
yaqīñ,1018
batā,1016
yūñhī,1012
paḌī,1012
raaz,1011
lag,1011
yaaro,1009
khulā,1009
jiine,1009
hashr,1007
qarīb,1005
dinoñ,1002
zahr,1000
duuñ,1000
kahne,1000
tan,998
udaas,997
kahnā,997
qarār,996
yādoñ,995
jafā,994
visāl,993
samjhe,990
guzre,990
sū,988
khul,986
rahtī,984
rāsta,983
sau,980
ghaḌī,975
paar,975
ziyāda,974
nigāhoñ,972
raqs,971
bane,971
saañs,970
chuke,967
aao,967
soz,965
nishāñ,960
logoñ,957
zamīn,956
hairat,956
ḳhāmosh,955
go,955
milne,952
teġh,947
shai,945
zehn,945
jamāl,943
had,940
chalī,937
saarā,936
chāhe,935
vāloñ,934
muddat,931
mast,930
bar,928
hamesha,928
likh,923
jām,922
qatl,921
muqaddar,918
toḌ,917
diloñ,916
shaiḳh,916
jānib,915
jaisā,915
aksar,915
ātish,910
kījiye,908
paidā,906
shoḳh,899
detī,899
dekhūñ,897
chiiz,895
rāz,895
sakte,894
pī,894
rafta,894
hoñToñ,892
nafas,891
chhupā,891
dāstāñ,890
rishta,888
pyaas,884
yak,883
tark,879
ḳhatm,876
letā,875
leñ,875
rakhtā,875
ḳharāb,873
sho.ala,873
bahr,872
alag,872
jañgal,869
hañs,869
bīmār,868
baġhair,867
darmiyāñ,865
bād,864
pas,861
ābād,859
burā,859
firāq,857
pīchhe,857
luuñ,857
raste,856
laakh,856
bikhar,854
bayāñ,854
taqdīr,854
pareshāñ,854
mizāj,852
shikva,851
baaġh,851
daaġh,849
dekheñ,847
insāñ,847
sāhab,846
samajhte,844
fasl,843
ḳhūñ,843
sitāre,843
Duub,842
qissa,839
kidhar,838
justujū,837
silsila,837
chalte,835
kārvāñ,834
ḳhāne,834
ta.alluq,833
sanam,832
garebāñ,831
ḳhudī,829
guftugū,829
zabān,828
rasta,828
barq,827
javānī,826
nigah,826
vahīñ,820
zer,818
zabt,814
jāntā,814
kitāb,811
tiir,810
naaz,809
hasīñ,808
baḌā,805
fan,804
ḳhūn,804
zauq,802
sabr,802
lagtī,802
bujhā,801
kuuñ,801
dikhā,797
sāġhar,792
bulbul,791
rāste,787
bādal,785
dāġh,783
kū,781
dekhī,781
ḳhanjar,780
kamāl,780
āhista,779
achchhī,776
ḳhafā,776
jā.ūñgā,772
baiTh,771
shabnam,770
ziist,770
tah,768
mah,768
fursat,767
ārzū,766
rañj,764
chāñdnī,763
sair,763
kashtī,761
māh,761
gulāb,758
anā,757
maqām,756
rahegā,755
pūchho,754
dostī,753
lazzat,753
parī,753
davā,752
naġhma,752
bachā,751
zālim,751
sāz,750
bātoñ,747
deñ,747
ret,747
khā,746
qasam,746
haram,746
uḌā,742
nau,742
rag,742
zarūrat,740
paa.e,739
insān,738
pahuñche,738
lenā,738
āftāb,737
anjām,736
zār,735
aa.ine,732
daulat,732
degā,731
nām,731
zulm,727
tañg,727
raho,726
ḳhatā,726
hamīñ,726
dīvāne,726
gulistāñ,725
kareñge,725
kūche,724
hañsī,724
marne,723
chaar,723
lamhe,722
guzrā,721
pesh,720
peḌ,720
shakl,718
paikar,718
qalam,718
nuur,715
hausla,714
iḳhtiyār,714
kaash,714
āh,714
iz.hār,712
furqat,708
tūfāñ,707
jahān,707
hisāb,706
kahe,704
josh,704
paḌ,702
palkoñ,701
bārish,701
ashkoñ,700
musāfir,699
banāyā,699
TuuTe,698
chaak,698
gale,697
nazroñ,697
tabī.at,696
e'tibār,696
bām,695
azal,692
aql,691
pata,690
Thahar,688
matlab,688
jabīñ,687
rasm,685
dīdār,683
mehr,683
taaza,681
sad,680
bojh,679
milte,677
tūfān,677
miyāñ,676
tauba,675
shāmil,675
ġhalat,674
ā.īne,674
sard,673
hālāt,672
āshiyāñ,672
tishna,672
sukūñ,671
bharī,671
Thahrā,669
arz,669
zāhir,666
pahuñchā,665
biich,664
laboñ,663
shīsha,663
kūcha,658
goyā,657
patā,657
fanā,657
baḌe,655
ajnabī,654
shikāyat,653
